-4584,-210
-4460,-612
-4239,-971
-3952,-1280
-3621,-1542
-3262,-1763
-2883,-1948
-2490,-2102
-2087,-2228
-1677,-2328
-1262,-2404
-843,-2458
-422,-2489
0,-2500
422,-2489
843,-2458
1262,-2404
1677,-2328
2087,-2228
2490,-2102
2883,-1948
3262,-1763
3621,-1542
3952,-1280
4239,-971
4460,-612
4584,-210
4584,210
4460,612
4239,971
3952,1280
3621,1542
3262,1763
2883,1948
2490,2102
2087,2228
1677,2328
1262,2404
843,2458
422,2489
0,2500
-422,2489
-843,2458
-1262,2404
-1677,2328
-2087,2228
-2490,2102
-2883,1948
-3262,1763
-3621,1542
-3952,1280
-4239,971
-4460,612
-4584,210
-4074,-213
-3906,-605
-3628,-930
-3289,-1192
-2917,-1405
-2524,-1575
-2118,-1712
-1702,-1819
-1281,-1900
-856,-1956
-429,-1989
0,-2000
429,-1989
856,-1956
1281,-1900
1702,-1819
2118,-1712
2524,-1575
2917,-1405
3289,-1192
3628,-930
3906,-605
4074,-213
4074,213
3906,605
3628,930
3289,1192
2917,1405
2524,1575
2118,1712
1702,1819
1281,1900
856,1956
429,1989
0,2000
-429,1989
-856,1956
-1281,1900
-1702,1819
-2118,1712
-2524,1575
-2917,1405
-3289,1192
-3628,930
-3906,605
-4074,213
